wave,flux,flux_err
11250.0,1.1564218364294527e-12,1.6650586832337824e-15
11300.0,1.1647900675545346e-12,1.6355430378319132e-15
11350.0,1.1515515063314794e-12,1.6391002846119034e-15
11400.0,1.1547292012277182e-12,1.6407795932590418e-15
11450.0,1.1326954314863467e-12,1.6032939209624702e-15
11500.0,1.134663101764301e-12,1.5906626754110352e-15
11550.0,1.1265157794646259e-12,1.5782380713039754e-15
11600.0,1.1327293614026066e-12,1.5919780978362609e-15
11650.0,1.0981116697698844e-12,1.5714670750231109e-15
11700.0,1.0812971771888643e-12,1.5277191142601726e-15
11750.0,1.08617348367236e-12,1.5716765046893392e-15
11800.0,1.0828093585894396e-12,1.5547612948159134e-15
11850.0,1.0531465563072944e-12,1.4949702556282564e-15
11900.0,1.0653984840252142e-12,1.511317597204338e-15
11950.0,1.0375002614296234e-12,1.4821686641106824e-15
12000.0,1.0335768799068113e-12,1.4627427118010967e-15
12050.0,1.0167526366488396e-12,1.445094617490781e-15
12100.0,1.0153709768260124e-12,1.4474189267717685e-15
12150.0,1.0122724802358526e-12,1.4227482716732205e-15
12200.0,1.0219556077993928e-12,1.4408568631928643e-15
12250.0,9.365582720069443e-13,1.3284631233382542e-15
12300.0,1.010565900667464e-12,1.4396911182346708e-15
12350.0,9.994707233829243e-13,1.3991159222097423e-15
12400.0,1.0041933584402354e-12,1.4205855180164289e-15
12450.0,9.890102809262335e-13,1.381973577142125e-15
12500.0,9.804767210767038e-13,1.3881757888208553e-15
12550.0,9.672774402059144e-13,1.3638552307456697e-15
12600.0,9.587859344139318e-13,1.3602767640754636e-15
12650.0,9.489514888121901e-13,1.3612342333606386e-15
12700.0,9.456266445427064e-13,1.346874855739019e-15
12750.0,9.320643558007792e-13,1.317966390064689e-15
12800.0,9.180961086479868e-13,1.2932404299789704e-15
12850.0,9.099443147046515e-13,1.2924580230683475e-15
12900.0,9.110990857489032e-13,1.2865039027975388e-15
12950.0,9.15412092598567e-13,1.303967532648381e-15
13000.0,9.092596652291495e-13,1.3060717971634593e-15
13050.0,8.818663512237965e-13,1.244251756380352e-15
13100.0,8.807209851480778e-13,1.239770623183311e-15
13150.0,8.742272338946607e-13,1.237373228687114e-15
13200.0,8.6581852321477e-13,1.230153471417351e-15
13250.0,8.795444029917602e-13,1.2742246052455402e-15
13300.0,8.656368960232345e-13,1.3048597491702837e-15
13350.0,8.504854246871976e-13,1.2999418842148168e-15
13400.0,8.523173658976964e-13,1.3587983903466744e-15
13450.0,8.400282437332476e-13,1.4917667173307802e-15
13500.0,8.409100759721663e-13,1.4301727384820265e-15
13550.0,8.332581326170929e-13,1.3507364114064445e-15
13600.0,8.385788016913793e-13,1.302157837069909e-15
13650.0,8.122006461809982e-13,1.229125663565014e-15
13700.0,8.226373625055474e-13,1.1816787507329698e-15
13750.0,8.186219624940601e-13,1.1637918172839012e-15
13800.0,8.132144868732708e-13,1.1855974361766096e-15
13850.0,7.94763163571872e-13,1.1677945835290025e-15
13900.0,7.896145666986375e-13,1.132955525583043e-15
13950.0,7.851690029321328e-13,1.1248337372833128e-15
14000.0,7.816818873003495e-13,1.130790560144187e-15
14050.0,7.626558751732902e-13,1.1195152755457262e-15
14100.0,7.589747428966945e-13,1.0905970257181612e-15
14150.0,7.610141938560438e-13,1.075230815531732e-15
14200.0,7.490557114709394e-13,1.0546296200248876e-15
14250.0,7.445524110435314e-13,1.0607083695101088e-15
14300.0,7.371118880335648e-13,1.066646513447898e-15
14350.0,7.267789579216466e-13,1.033746763619211e-15
14400.0,7.204465910556892e-13,1.0320784316468563e-15
14450.0,7.185672407604815e-13,1.0304041711221927e-15
14500.0,7.231056455767913e-13,1.0340962977550084e-15
14550.0,7.225754785210177e-13,1.0191066570346028e-15
14600.0,7.097744409157906e-13,1.0083695451615723e-15
14650.0,7.091167186297692e-13,1.006169756548507e-15
14700.0,7.023261462010184e-13,1.0128843031291988e-15
14750.0,6.990342814775044e-13,9.8600300458559e-16
14800.0,7.015660561076314e-13,1.0020836088294466e-15
14850.0,6.856089513486758e-13,9.762521336735687e-16
14900.0,6.728310198040504e-13,9.531653938113853e-16
14950.0,6.70679461175062e-13,9.487573622730275e-16
15000.0,6.705518403644074e-13,9.426880061383386e-16
15050.0,6.532967567326826e-13,9.308979357478226e-16
15100.0,6.385998918361685e-13,9.210684143287968e-16
15150.0,6.609938826360826e-13,9.604669078366509e-16
15200.0,6.625474023763572e-13,9.935473540335957e-16
15250.0,6.543285896037988e-13,1.0548963220188307e-15
15300.0,6.447886648161275e-13,1.1424117856652806e-15
